alpha_i,c,rho,f_opts,steps,final_errors
0.775,0.58,0.26,37.6031871033798,22,2.56337289954445e-05
0.775,0.58,0.42,37.5933642604259,27,6.35531477684026e-05
0.775,0.58,0.58,37.594976428785,19,4.63062277731296e-05
0.775,0.58,0.74,37.590708787435,16,4.48879755907683e-05
0.775,0.58,0.9,37.5663967630614,13,7.0934490437935e-05
0.775,0.74,0.1,37.6662003317424,75,6.41631967894796e-05
0.775,0.74,0.26,37.6516396256118,69,9.81043680852167e-05
0.775,0.74,0.42,37.642619722279,37,4.60179788319692e-05
0.775,0.74,0.58,37.6380934109009,37,7.92302084420271e-05
0.775,0.74,0.74,37.6346579641718,30,4.68723546305228e-05
0.775,0.74,0.9,37.6267522290226,27,3.80414801952611e-05
0.775,0.9,0.1,37.6829215445456,359,9.82629154080428e-05
0.775,0.9,0.26,37.6787126115552,130,6.97337990729352e-05
0.775,0.9,0.42,37.6765228865435,105,9.28123706316342e-05
0.775,0.9,0.58,37.6735694959379,96,8.35850533675853e-05
0.775,0.9,0.74,37.6719876990751,84,9.81929966386019e-05
0.775,0.9,0.9,37.6698859202415,78,9.07241475829323e-05
1,0.1,0.1,35.7783109661361,22,9.0263574385574e-05
1,0.1,0.26,66.2143080192757,9,6.25868542982744e-05
1,0.1,0.42,36.8773349381335,10,3.23093249221529e-05
1,0.1,0.58,65.9547830548161,11,4.9024594844127e-05
1,0.1,0.74,39.6512453726053,16,3.16192605893661e-05
1,0.1,0.9,39.6574581557132,30,4.69491236358976e-05
1,0.26,0.1,37.3486992247167,22,4.46061776457896e-05
1,0.26,0.26,37.484545224956,11,2.36248035605513e-05
1,0.26,0.42,36.8773349381335,10,3.23093249221529e-05
1,0.26,0.58,37.4114824811376,10,7.52189695703009e-05
1,0.26,0.74,37.3659509975481,12,9.15098224112398e-05
1,0.26,0.9,37.0690775362501,15,6.26374750893888e-05
1,0.42,0.1,37.5558275456121,30,4.63891738249345e-05
1,0.42,0.26,37.5094264803241,11,3.60953504028316e-05
1,0.42,0.42,37.5522307444758,18,8.95890646717135e-05
1,0.42,0.58,37.5271768136385,11,9.5290319812591e-05
1,0.42,0.74,37.4875427992315,8,3.60895741948752e-05
1,0.42,0.9,37.4809711351874,8,3.74457251908211e-05
1,0.58,0.1,37.6347051833837,43,4.18366375853907e-05
1,0.58,0.26,37.6100886890905,48,2.25407507628006e-05
1,0.58,0.42,37.5991355875769,22,6.97832599669823e-05
1,0.58,0.58,37.604139353216,17,3.1710928197981e-05
1,0.58,0.74,37.5922752289536,15,3.17732821244476e-05
1,0.58,0.9,37.5645893750693,13,3.82738680499983e-05
1,0.74,0.1,37.6658070018119,76,7.53070413139767e-05
1,0.74,0.26,37.6518013916103,58,9.86157147053746e-05
1,0.74,0.42,37.6424799835005,41,8.23357705996841e-05
1,0.74,0.58,37.6380940431373,32,6.31213837110067e-05
1,0.74,0.74,37.6351811712289,30,7.89124774271954e-05
1,0.74,0.9,37.6258053943062,27,3.81545637324621e-05
1,0.9,0.1,37.6831468180308,312,9.73579033143324e-05
1,0.9,0.26,37.6796261888587,207,9.24362807452894e-05
1,0.9,0.42,37.6761991611245,139,8.90586815174288e-05
1,0.9,0.58,37.6738277733349,99,7.54131145797032e-05
1,0.9,0.74,37.6719093432783,85,9.94394585518421e-05
1,0.9,0.9,37.6700518559646,80,9.11425119127784e-05
